,content,date,id,images,sumber,title,url
0,"KONTAN.CO.ID -JAKARTA. Harga aluminium menguat ditengah ketidakpastian politik global. Salah satu faktor yang menguatkan adalah adanya titik terang permasalahan perang dagang dan juga permasalahan Brexit. Mengutip Bloomberg, Senin (21/1) pukul 20.00 WIB, harga aluminium kontrak tiga bulanan di London Metal Exchange (LME), ditutup menguat 0,64% menjadi US$ 1,870 per metrik ton dari yang sebelumnya US$ 1,858 per metrik ton. Bahkan sepekan harga aluminium naik 1,85%. Direktur PT Garuda Berjangka, Ibrahim menilai ekspektasi pertumbuhan ekonomi Tiongkok tahun 2018 sesuai ekspektasi pasar. Meskipun hanya sedikit hasil positif yang dilihat pasar, namun, Ibrahim meyakini ekonomi China tetap tumbuh. Disamping itu, adanya titik terang dari permasalahan perang dagang Amerika Serikat dan China. Berkurangnya tensi perang dagang membuat harga sejumlah komoditas kembali naik, termasuk aluminium. ""Kita tahu beberapa hari lalu, ada negosiasi AS dan China yang menunjukkan hasil positif dari perang dagang,"" ucap Ibrahim kepada Kontan.co.id, Senin (21/1). Sekedar informasi, Wakil Perdana Menteri China Liu He akan mengunjungi Amerika Serikat pada 30 dan 31 Januari untuk putaran negosiasi perdagangan berikutnya dengan Washington. Pertemuan tersebut menyusul negosiasi tingkat rendah yang berlangsung di Beijing pekan lalu untuk menyelesaikan perselisihan pahit antara dua ekonomi terbesar dunia. Ibrahim juga menilai ditolaknya Brexit menjadi penguatan harga aluminium menguat. Sebab, selama ini pasar terus menunggu hasil voting Brexit. ""Setelah perlahan kondisi politik mendapat jawaban harga komoditas naik,"" tandasnya. Sementara secara fundamental kebutuhan aluminium setiap tahun untuk industri konstruksi tinggi. Seperti pembangunan rumah, jembatan dan apartemen di AS, China ataupun Jepang. Ibrahim juga meyakini apabila dana pembangunan tembok Meksiko-AS disetujui maka permintaan aluminium akan semakin tinggi. Besok, Ibrahim memproyeksikan harga aluminium akan menguat terbatas. Sebab pasar akan tertuju pada kondisi di Inggris menunggu kepastian Brexit, yang mana Perdana Menteri Theresa May sedang menyiapkan ""plan b"". ""Dan Amerika juga tengah libur sehingga penutupan pemerintahan AS membuat perekonomian melemah. Selama satu minggu pemerintahan ditutup, PDB turun 0,1%. Ini bagus untuk harga komoditas,"" tandasnya. Harga aluminium diperkirakan di rentang US$ 1,850 sampai US$ 1,910 per metrik ton. Sementara sepekan US$ 1,710 sampai US$ 1,975 per metrik ton. Secara teknikal harga aluminium berada di bollinger bands dan MA 40% diatas bollinger bawah, sedangkan indikator stochastic 60% positif, dan MACD 70 % negatif. Sementara indikator RSI wait and see. Ia masih merekomendasikan buy."," Senin, 21 Januari 2019 / 22:05 WIB ","[0, 0]",https://photo.kontan.co.id/photo/2018/11/29/1767758569p.jpg,kontan,Harga aluminium menguat terbatas,https://investasi.kontan.co.id/news/harga-aluminium-menguat-terbatas
1,"KONTAN.CO.ID - JAKARTA. Gaet investor domestik dan asing untuk peningkatan investasi di Tanah Air, PT Bank Mandiri Tbk bersama PT Mandiri Sekuritas bakal menggelar Mandiri Investment Forum (MIF) 2019. Tahun ini, Mandiri Investment Forum memilih tajuk ""Indonesia: Invest Now!"". Adapun jumlah peserta yang diperkirakan hadir pada acara tersebut sebanyak 600 investor, baik dari dalam dan luar negeri. MIF sendiri, rencananya akan digelar pada 28 Januari hingga 1 Februari 2019 di Hotel Fairmont Jakarta. Head of Mandiri Institute Moekti Soejachmoen mengatakan, MIF sangat penting untuk menciptakan sinergi antara investor, pelaku usaha dan pemangku kepentingan. Sehingga, ke depannya peluang investasi mampu ditangkap untuk mendukung upaya meningkatkan pertumbuhan ekonomi Indonesia. ""Untuk mengakselerasi investasi, perlu sinergi seluruh pihak. Untuk itu, Bank Mandiri berkomitmen membantu memfasilitasi kebutuhan tersebut, agar pertumbuhan ekonomi Indonesia yang baik dan berkelanjutan dapat dicapai,"" kata Moekti, Senin (21/1). Catatan saja, ekonomi Indonesia di tahun 2018 lalu diperkirakan tumbuh 5,17%, atau lebih tinggi dari 5,07% di tahun 2017. Sedangkan untuk tahun ini, pertumbuhan ekonomi ditargetkan mencapai 5,30%. Untuk mendukung hal tersebut, upaya pemerintah mendukung pembangunan infrastruktur yang baik sangat diperlukan. Di antaranya untuk mendukung konektivitas, seperti jalan, bandara, pelabuhan, rel kereta api, dermaga penyeberangan dan pembangkit listrik. ""Perlu strategi dan dukungan semua pihak agar target pertumbuhan ekonomi Indonesia dapat terealisasi. Dasar itulah yang mendorong kami untuk mempertemukan investor dengan pemegang kepentingan, agar pembangunan berjalan dengan baik, "" ujar Wakil Kepala Riset Ekuitas Mandiri Sekuritas Tjandra Lienandjaja. MIF juga bertujuan mendorong investasi yang merata diberbagai daerah. Kegiatan MIF juga akan diisi dengan site visi ke sejumlah perusahaan di Jakarta dan Yogyakarta, khusunya yang fokus pada sektor ekonomi kreatif dan pariwisata. Selanjutnya, pada 30 Januari 2019 akan dilakukan diskusi yang akan dihadiri Gubernur Bank Indonesia (BI) Perry Warjiyo, Menteri Keuangan Sri Mulyani, Gubernur Jawa Barat (Jabar) Ridwan Kamil, Chairman Mandiri Institute M. Chatib Basri dan pembicara lainnya. MIF juga akan menyajikan pertemuan dalam bentuk one-on-one bagi investor, untuk memperoleh informasi terkini, baikdari dana regulator maupun pelaku usaha yang hadir."," Senin, 21 Januari 2019 / 21:34 WIB ","[0, 1]",https://photo.kontan.co.id/photo/2017/07/17/706194507p.jpg,kontan,"Gaet investor, Bank Mandiri dan Mandiri Sekuritas gelar Mandiri Investment Forum",https://investasi.kontan.co.id/news/gaet-investor-bank-mandiri-dan-mandiri-sekuritas-gelar-mandiri-investment-forum
2,"KONTAN.CO.ID - JAKARTA. Panin Asset Management memproyeksikan kinerja Indeks Harga Saham Gabungan (IHSG) di akhir tahun bisa tumbuh sekitar 12%-13% ke level 7.400. Direktur Panin Asset Management Ridwan Sutedja menilai proyeksi tersebut tidak terlalu tinggi dan wajar bila terjadi karena di tahun lalu IHSG berkinerja negatif. ""Sejak 2018 berarti kenaikannya kalau di tahun ini jadi di 13% maka rata-rata per tahun dalam dua tahun terakhir hanya 6,5%, ini kenaikannya wajar,"" kata Ridwan, Senin (21/1). Ridwan optimistis kinerja IHSG bisa positif karena faktor eksternal yang menekan pasar modal mereda bila dibanding tahun lalu. Sentimen yang mendukung adalah suku bunga The Fed sudah mencapai puncaknya. Bahkan, Ridwan memproyeksikan The Fed mungkin saja menurunkan suku bunga acuannya. Hal ini bisa menjadi sentimen positif juga bagi Indonesia. Kemungkinan Bank Indonesia untuk menurunkan suku bunga acuan jadi terbuka. Sementara itu untuk pasar obligasi Rudiyanto, Direktur Panin Asset Management memproyeksikan bisa kembali catatkan kinerja dua digit dengan return 9%-11% di akhir tahun. Kurs rupiah yang berangsur stabil juga membuat kepercayaan investor asing kembali dan aliran dana asing bisa kembali masuk. Kinerja IHSG diproyeksi bullish juga karena didukung laba perusahaan di Indonesia masuk dalam siklus pertumbuhan seiring dengan membaiknya pendapatan dan konsumsi masyarakat, menurunnya risiko politik, meningkatnya kestabilan finansial dan kebijakan pemerintah yang lebih melibatkan sektor swasta. Apalagi, Ridwan memproyeksikan investor lokal akan semakin besar perannya di pasar modal. Hanya saja, sejumlah tantangan juga mungkin datang dan menahan kinerja IHSG. Ridwan mengatakan meski aliran dana asing mulai kembali masuk, tetapi masih oportunis atau berpotensi keluar dalam jangka waktu pendek, dibandingkan investor asing di pasar obligasi yang cenderung lebih stabil. Selain itu, Ridwan memproyeksi pencatatan China A shares bisa terjadi di tahun ini dan mempengaruhi porsi saham Indonesia dalam alokasi investasi global. Ridwan memproyeksikan dengan peran investor lokal yang mulai menggandakan kepemilikannya di pasar saham, maka saham-saham medium caps dan small caps akan lebih menarik pertumbuhan kinerjanya dibanding saham big caps."," Senin, 21 Januari 2019 / 20:48 WIB ","[0, 2]",https://photo.kontan.co.id/photo/2016/08/05/1839131326p.jpg,kontan, Outlook Panin: Pasar saham dan obligasi berpotensi tumbuh di atas 10% tahun ini,https://investasi.kontan.co.id/news/outlook-panin-pasar-saham-dan-obligasi-berpotensi-tumbuh-di-atas-10-tahun-ini
3,"KONTAN.CO.ID - JAKARTA. Perusahaan perhiasan PT Hartadinata Abadi Tbk (HRTA) memproyeksikan pertumbuhan penjualan perusahaan tahun ini bisa mencapai 10%-15%. Target tersebut, didukung proyeksi Kementerian Perindustrian (Kemperin) bahwa industri perhiasan 2019 bisa tumbuh hingga 5%. Sekretaris Perusahaan HRTA Abadi Mohammad Ath Thoriz mengatakan, untuk mencapai target tersebut perusahaan itu bakal terus konsisten memperluas pemasaran ke pangsa pasar baru. Tujuan utamanya seperti Pulau Sumatra, Jawa Timur, Sulawesi dan Kalimantan. ""Bisnis perhiasan emas agak berbeda dengan persona accesories lainnya. Ini karena, dia punya fungsi proxy saving, selain perhiasan non gold,"" kata Abadi kepada Kontan.co.id, Senin (21/1). Terkait tren kenaikan harga emas, menurut Thoriq tidak akan berdampak signifikan terhadap prospek pendapatan emiten itu ke depan. Meskipun perlu diakui, secara volume permintaan perhiasan akan menurun jika harga menjadi pemberat penjualan. ""Tapi, kalau kenaikannya masih dalam harga wajar, itu tidak terlalu berpengaruh. Jadi lebih ke daya beli,"" ungkapnya. Selain itu, HRTA berencana untuk membuka 20 gerai baru di tahun ini. Angka tersebut lebih rendah dibandingkan capaian 2018, di mana perusahaan sudah membuka 22 gerai baru. Sayangnya, capaian 2018 lebih rendah dibandingkan target awal perusahaan itu untuk membuka 50 gerai baru. ""Ini karena pendanaannya, tahun lalu kami tidak jadi keluarkan instrumen utang, karena pasar utangnya lagi kurang kondusif,"" ujarnya. Untuk 2019, dana yang dibutuhkan untuk membangun 20 gerai baru mencapai Rp 75 miliar-Rp 100 miliar. Di mana, toko ACC, Celine dan Claudia memiliki nilai yang berbeda. Perusahaan yang saat ini memiliki 33 toko perhiasan tersebut, berencana akan mencari pendanaan lewat perbankan, demi memenuhi kebutuhan pendanaan 2019. ""Kami rencanakan penambahan pinjaman, karena structure capital-nya masih kurang leverage, deb to equity kita masih di kisaran 30%,"" ujarnya. Thoriq mengungkapkan, target produksi HRTA di 2019 sekitar 700 kilogram (kg)-800 kilogram (kg) per bulan, seperti 2018. Sedangkan pangsa pasar yang masih dijagokan untuk 2019 masih di pulau Jawa. ""Ada juga toko toko baru yang penjualannya bagus di Batam Sumatera. Banyak juga toko di Sumatra yang dipasok wholesale dari Jawa,"" paparnya. Dari total 33 gerai yang dimiliki HRTA saat ini, 28 gerai berada di Jawa dan sisanya yakni lima gerai berada di luar Jawa. Perusahaan itu juga belum berencana untuk membidik pasar di luar negeri."," Senin, 21 Januari 2019 / 20:26 WIB ","[0, 3]",https://photo.kontan.co.id/photo/2018/07/31/1054119280p.jpg,kontan,Hartadinata (HRTA) bidik penjualan tumbuh hingga 15% di tahun ini,https://investasi.kontan.co.id/news/hartadinata-hrta-bidik-penjualan-tumbuh-hingga-15-di-tahun-ini
4,"KONTAN.CO.ID - JAKARTA. Panin Asset Management menyesuaikan portofolio reksadana Panin IDX30 sejak akhir tahun lalu seiring dengan kabar aturan pembobotan berdasarkan free float atau saham yang beredar pada indeks LQ45 dan IDX30 muncul. Bursa Efek Indonesia (BEI) resmi menetapkan aturan free float pada indeks LQ45 dan IDX30 pada Februari mendatang secara bertahap. Nantinya, pada tahap pertama penerapan free float adjusted hanya akan dilakukan sebesar 30%, selanjutnya pada pertengahan tahun akan dilakukan sebanyak 60% sampai 70%. Pada tahap terakhir dilakukan 100%. Direktur Panin Asset Management Rudiyanto mengatakan sejak pengumuman penghitungan free float keluar di akhir tahun, Panin AM sudah menyesuaikan portofolionya, lantaran beberapa konstituen langsung terjadi perubahan harga saham. ""Aturannya Februari awal baru diterapkan tetapi para MI termasuk Panin AM sudah ambil langkah duluan sejak akhir tahun, sekarang tinggal sisanya saja,"" kata Rudiyant, Senin (21/2). Sepengamatan Rudiyanto, hanya UNVR dan HMSP yang bobotnya signifikan berubah. Rudiyanto mengaku mendukung metode free float karena emiten jadi tidak gampang di ""goreng"". Menurutnya ketiak ada saham yang mudah digerakkan dan langsung mempengaruhi indeks saham akan kurang sehat."," Senin, 21 Januari 2019 / 20:23 WIB ","[0, 4]",https://photo.kontan.co.id/photo/2018/08/16/715334595p.jpg,kontan,Panin AM mulai rebalancing portofolio sejak akhir tahun lalu,https://investasi.kontan.co.id/news/panin-am-mulai-rebalancing-portofolio-sejak-akhir-tahun-lalu
5,"KONTAN.CO.ID - JAKARTA. Kebijakan pembatasan impor baja yang dirilis pemerintah dinilai bakal berefek positif pada saham-saham emiten baja. Analis Binaartha Sekuritas Muhammad Nafan Aji Gusta Utama mengatakan, kebijakan pembatasan impor bajabisa menjadi sentimen positif bagi kinerja dan pergerakan saham-saham emiten baja ke depannya. ""Asalkan penerapannya optimal dan terus berkesinambungan,"" tuturnya kepada kontan.co.id, Senin (21/1). Di sisi lain, Nafan melihat kinerja emiten-emiten tersebut masih membukukan kerugian dan hal ini yang menjadi salah satu pertimbangan para pelaku pasar untuk melirik saham-sahamnya. ""Kebijakan pemerintah bisa jadi sentimen yang bagus, tapi kebanyakan investor pasti memilih wait and see sembari melihat efek dan hasil dari penerapan pembatasan impor baja atas kinerja emiten-emiten terkait,"" lanjut dia. Nafan merekomendasikan untuk hold saham PT Krakatau Steel (Persero) Tbk dengan target harga untuk jangka panjang di level Rp 755 per saham. ""Alasannya target harga KRAS pada level Rp 450 sudah tercapai. Selain itu, shamnya cukup likuid dan boleh untuk investasi jangka panjang,"" paparnya. Pada penutupan perdagangan hari ini saham KRAS naik 1,33% ke level Rp 458 per saham. Sementara untuk saham PT Steel Pipe Industry of Indonesia Tbk (ISSP), ia juga merekomendasikan untuk hold dengan target harga di jangka panjang Rp 147 per saham. Pada penutupan perdagangan hari ini saham ISSP turun 2,15% ke level Rp 91 per saham. "," Senin, 21 Januari 2019 / 20:12 WIB ","[0, 5]",https://photo.kontan.co.id/photo/2017/06/02/721830608p.jpg,kontan,Simak rekomendasi analis untuk saham emiten baja berikut ini,https://investasi.kontan.co.id/news/simak-rekomendasi-analis-untuk-saham-emiten-baja-berikut-ini
6,"KONTAN.CO.ID - JAKARTA. Analis BNI Sekuritas, Dessy Lapagu mengatakan dari sisi harga komoditas ia melihat harga emas dan nikel masih akan menguat pada tahun ini. Hal ini akan memberi efek positif terhadap pendapatan PT Aneka Tambang Tbk (ANTM). Ia menambahkan tren penguatan komoditas metal akan sejalan dengan penguatan komoditas batu bara serta dollar Amerika Serikat (AS) terhadap rupiah sampai akhir tahun. Mengutip Bloomberg harga emas global stabil pada bulan ini sampai sekarang dengan rentang harga berada di kisaran US$1.281-US$ 1.294 per ons troi. Sementara harga nikel menguat 1,1% di rentang US$ 11.110-US$ 11.820 per ton pada periode sama. Dessy berpendapat dari sisi fundamental ANTM akan melanjutkan pengutannya. Pendapatan ANTM akan disokong dari kenaikan volume penjualan nikel dan feronikel bersamaan dengan pertumbuhan permintaan. Secara jangka panjang potensi permintaan dari industri baja yakni sektor otomotif dan baterai diprediksi akan mengangkat permintaan terhadap komoditas tersebut. “Sampai akhir tahun ini masih optimis pendapatannya bisa tumbuh sampai 21,7%,” tutur Dessy kepada Kontan.co,id, Senin (21/1). Adapun secara nominal, prediksi pendapatannya di akhir tahun ini mencapai Rp 25,1 triliun dibanding proyeksi tahun lalu yang sebesar Rp 20,6 triliun. Ramalan Dessy tahun ini memang tidak sebesar tahun lalu. Pasalnya sampai akhir tahun lalu proyeksinya sekitar 62,8% dari pendapatan tahun 2017 yakni Rp12,65 triliun. Sebab meski tahun ini dollar AS akan menguat, tapi agresifitas The Fed tidak setinggi tahun lalu. Ia menambahkan perayaan imlek tidak terlalu berpengaruh signifikan terhadap permintaan emas ANTM. Dessy merekomendasikan beli saham ANTM dengan target price (TP) sampai dengan akhir tahun di level Rp 1.120 per saham."," Senin, 21 Januari 2019 / 20:00 WIB ","[0, 6]",https://photo.kontan.co.id/photo/2016/11/28/1546196623p.jpg,kontan,Penguatan komoditas metal mendorong kinerja Aneka Tambang (ANTM),https://investasi.kontan.co.id/news/penguatan-komoditas-metal-mendorong-kinerja-aneka-tambang-antm
7,"KONTAN.CO.ID - JAKARTA. Pemerintah telah mengeluarkan kebijakan pembatasan impor baja lewat Peraturan Menteri Perdagangan (Permendag) Nomor 110 tahun 2018 tentang Ketentuan Impor Besi atau Baja, Baja Paduan, dan Produk Turunannya. Peraturan ini mulai berlaku pada 20 Januari 2019. Peraturan tersebut diharapkan memberikan peluang pertumbuhan bagi industri baja nasional lantaran penggunaan baja impor akan dibatasi dan lebih mengutamakan penggunaan baja lokal. Direktur Utama Krakatau Steel Silmy Karim menyambut baik kebijakan yang ditetapkan pemerintah tersebut. ""Dampaknya akan bagus, bukan hanya untuk KRAS tapi juga industri dan pasar baja di Indonesia,"" terangnya kepada kontan.co.id, Senin (21/1). Sebelumnya untuk akhir tahun 2018 lalu, KRAS menargetkan pertumbuhan pendapatan sebesar 15% dari tahun sebelumnya yang senilai US$ 1,44 miliar. Sementara untuk produksi baja milik KRAS diharapkan naik 40% menjadi 2,8 juta ton pada 2018. Untuk tahun 2019, KRAS menargetkan kenaikan penjualan dan produksi baja sebesar 20%-30% dibanding tahun sebelumnya. ""Pertumbuhan penjualannya sama dengan pertumbuhan produksi. Tapi untuk target laba bersih tahun ini tergantung proses restrukturisasi dan juga pelaksanaan Permendag 110 yang baru berlaku 20 Januari 2019 kemarin. Jika dilaksanakan dengan baik, tidak akan ada lagi impor merajalela dan industri baja dan khususnya KRAS bisa untung,"" tuturnya. Silmy juga bilang untuk ekspansi tahun ini, KRAS mengalokasikan belanja modal alias sebesar US$ 200 juta. ""Belanja modalnya bakal dipakai untuk menyelesaikan proyek yang sedang berjalan dan penambahan fasilitas baru,"" paparnya. Menurut Silmy, tahun ini turut menjadi peluang bagi KRAS untuk meraih untung. ""Alasannya karena kami sedang dalam proses restrukturisasi utang dan akan mulai beroperasinya fasilitas produksi pabrik baja lembaran panas 2 atau HSM2 pada pertengahan tahun 2019 ini sehingga produktifitas pabrik bisa meningkat,"" lanjutnya. Silmy juga menjelaskan di tahun ini pihaknya akan tetap fokus pada penjualan dalam negeri. ""Ekspor tetap kita jadikan target. Tapi domestik lebih penting karena pada tahun 2018 lalu, kita kebanjiran baja impor. Maka, prioritas kita masih ke pasar di dalam negeri,"" tukas dia.  Adapun kontribusi ekspor bagi pendapatan KRAS saat ini sebesar 10%-15%. Sementara itu, permintaan baja kasar (crude steel) berkisar dari 13 juta-14 juta ton. Namun saat ini baru bisa dipenuhi produksi crude steel dalam negeri sebanyak 8 juta-9 juta ton per tahun, sedangkan sisanya dipasok dari China, Jepang, Korea Selatan, Taiwan, dan India. Selain itu, Silmy juga memaparkan bahwa saat ini kapasitas produksi baja milik KRAS rata-rata berkisar 5 juta ton-6,25 juta per tahun. Ia menambahkan di tahun ini, pihaknya akan meningkatkan kapasitas produksi menjadi 6,5 juta ton per tahun. ""Tahap berikutnya, maksimal hingga 2025 akan ditingkatkan menjadi 10 juta ton per tahun,"" tambah dia. Silmy juga menyertakan rincian kapasitas produksi baja milik KRAS untuk iron making kapasitasnya sudah mencapai 6 juta ton pada Desember 2018. Kemudian untuk kapasitas produksi steel making telah mencapai 5,2 juta ton pada akhir 2018. Sementara untuk kapasitas produksi Rolling atau plate mill diharapkan mencapai 6,25 juta ton pada Juni 2019."," Senin, 21 Januari 2019 / 19:56 WIB ","[0, 7]",https://photo.kontan.co.id/photo/2018/02/12/1475095622p.jpg,kontan,"Ada pembatasan impor baja, Krakatau Steel targetkan penjualan naik 20%-30% tahun ini",https://investasi.kontan.co.id/news/ada-pembatasan-impor-baja-krakatau-steel-targetkan-penjualan-naik-20-30-tahun-ini
8,"KONTAN.CO.ID - JAKARTA. Otoritas Jasa Keuangan (OJK) berupaya merevisi peraturan Reksadana Berbentuk Kontrak Investasi Kolektif Penyertaan Terbatas (RDPT) untuk memungkinkan RDPT memiliki aset dalam mata uang asing. ""Peraturan masih dalam draft, termasuk mata uangnya,"" kata Deputi Komisioner Pengawas Pasar Modal II OJK Fakhri Hilmi, Senin (21/1). Direktur Utama PT Ayers Asia Asset Management, Dastin Mirjaya Mudijana mengaku tertarik bila peraturan tersebut bisa dilakukan. ""Menarik ada inovasi masuk efek derivatif currency jadi fund bisa hedging,"" kata Dastin. Head of Investment Research Infovesta Utama Wawan Hendrayana memperkirakan mata uang yang bisa digunakan sebagai heding adalah dollar AS karena banyak perusahaan di dalam negeri yang membutuhkan hedging dollar AS. ""Mungkin instrumennya bisa dilakukan dengan hedging swap, options dengan third party perbankan,"" asumsi Wawan. Diperkirakan minat dari RDPT yang beraset mata uang akan sangat spesifik seperti untuk institusi yang memiliki kewajiban dalam bentuk mata uang asing. Sebagai contoh, Wawan menjelaskan bisa saja PT Garuda Indonesia Tbk. (GIAA) memanfaatkan RDPT beraset mata uang untuk hedging avtur. Contoh lain, adalah pelaku usaha asuransi yang memiliki kewajiban dalam bentuk dollar AS. Meski Wawan masih harus mempelajari skema peraturan mengenai RDPT yang beraset mata uang, ia menilai dari segi konsep, RDPT ini cukup menarik karena bukan saja investor yang membeli RDPT ini melainkan perusahaan. Wawan mengamati perusahaan Badan Usaha Milik Negara (BUMN) cenderung sangat berhati-hati dalam melakukan hedging karena takut tidak terpakai dan malah merugikan perusahaan. ""Mungkin, kalau hedging dalam bentuk aset di RDPT jadi tidak langsung dianggap kerugian, mungkin juga bisa penghasilan dari RDPT tersebut dijadikan untuk membiayai hedging tadi,"" Wawan berasumsi."," Senin, 21 Januari 2019 / 19:53 WIB ","[0, 8]",https://photo.kontan.co.id/photo/2016/03/08/414390984p.jpg,kontan,RDPT beraset mata uang dinilai bakal menarik,https://investasi.kontan.co.id/news/rdpt-beraset-mata-uang-dinilai-bakal-menarik
9,"KONTAN.CO.ID - JAKARTA. Menjelang perayaan Tahun Baru China, harga emas spot malah melemah pada perdagangan Senin (21/1). Kondisi politik di dunia dan penguatan dollar AS menjadi sentimen utamanya. Namun, harga emas masih berpotensi menguat. Mengutip Bloomberg, Senin (21/1) Pukul 17.40 WIB, harga emas spot kontrak pengiriman Februari 2019 di Commodity Exchange menyentuh level US$ 1.277 per ons troi atau turun 0,39%. Selama sepekan harga emas turun 1,08%. Analis Asia Tradepoint Futures Deddy Yusuf Siregar melihat, memudarnya harga emas spot di perdagangan hari ini wajar terjadi. Ini karena ketidakpastian Brexit pun masih menghantui pelaku pasar. Pasalnya Perdana Menteri Theresa May akan menjalankan ""plan B"" yakni voting Brexit lanjutan pada 29 Januari mendatang. Namun harga emas spot akan kembali menguat karena perundingan perdagangan Amerika Serikat (AS) dan China tampaknya akan membuahkan hasil. ""Kita tahu, Presiden Donald Trump menyatakan sejauh ini perundingan dagang berjalan lancar. Dan kabarnya China akan meningkatkan impor barang di AS lebih dari US$ 1 triliun,"" ujar Deddy kepada Kontan.co.id, Senin (21/1). Sekedar informasi, Wakil Perdana Menteri China Liu He akan mengunjungi Amerika Serikat pada 30 dan 31 Januari untuk putaran negosiasi perdagangan berikutnya dengan Washington. Pertemuan tersebut menyusul negosiasi tingkat rendah yang berlangsung di Beijing pada pekan lalu. Sedangkan, menjelang perayaan Imlek permintaan emas seharusnya naik. Hanya saja, menurut dia, pasar belum melihat laporan pembelian emas di China pasca negosiasi perang dagang dengan AS. Jadi pelaku pasar masih menunggu pasti laporan tersebut. Sehingga wajar jika level emas spot akan berkonsolidasi lagi di level US$ 1.276 sampai US$ 1.275 per ons troi. Untuk besok, Deddy memperkirakan, harga emas spot akan bergerakan di rentang US$ 1.276 sampai US$ 1.270 per ons troi. Sedangkan, dalam sepekan harga emas spot kembali menguat di level US$ 1.293 sampai US$ 1.298 per ons troi. Secara teknikal, harga emas berada diatas garis Moving Average (MA) 50, 100 dan 200. Sementara, indikator stochastic berada di area 16 juga indikator RSI di area 53 yang berpotensi penguatan untuk jangka panjang. Sama halnya dengan indikator MACD yang berada di area positif. Deddy pun merekomendasikan buy."," Senin, 21 Januari 2019 / 19:49 WIB ","[0, 9]",https://photo.kontan.co.id/photo/2018/11/30/1346848614p.jpg,kontan,"Perundingan dagang AS dan China membuahkan hasil, harga emas bisa menguat",https://investasi.kontan.co.id/news/perundingan-dagang-as-dan-china-membuahkan-hasil-harga-emas-bisa-menguat
